Position,Position,proper motion,proper motion,,,,
Right Ascension,Declination,Right Ascension (mas/yr),Declination (mas/yr),Distance (pc),Gp,Bp,Rp
56.46771,21.48672,-3.27761,-33.5186,178.04,16.175,17.727,14.963
56.47416,24.46891,23.98688,-48.64428,93.42,14.15,15.476,13.009
56.47708,24.55431,20.3314,-46.02205,136.89,5.752,5.729,5.752
56.47976,24.5546,19.5332,-45.5509,135.96,13.833,14.598,12.833
56.48845,22.54251,-30.58988,-35.02435,117.96,15.685,17.235,14.478
56.5097,21.63366,8.28847,-0.56273,139.11,15.303,16.48,14.229
56.5116,23.73718,19.49571,-44.25713,134.67,12.134,12.949,11.236
56.51218,24.5277,19.5823,-44.87758,134.71,6.425,6.409,6.426
56.51448,24.34902,18.42013,-41.82671,148.42,16.562,18.257,15.307
56.51536,25.87452,20.88224,-49.32035,125.71,16.647,18.405,15.376
56.51601,25.4528,22.57189,-44.96016,136.64,13.811,14.734,12.862
56.52196,22.98142,20.51428,-47.91049,131.54,13.414,14.27,12.502
56.52329,23.75706,20.57697,-44.18332,136.81,14.375,15.703,13.256
56.53055,25.01917,2.36018,-48.98627,179.87,13.416,14.146,12.588
56.53634,24.67572,20.87319,-45.69153,135.62,16.681,18.399,15.403
56.53969,26.13865,20.08965,-45.74989,133.59,11.516,12.08,10.808
56.54458,23.14623,-32.70545,-12.67381,184.12,17.146,18.661,15.955
56.54908,24.62212,21.19522,-44.69592,132.45,11.406,11.852,10.798
56.55372,24.05417,22.0678,-46.12809,136.38,13.604,14.483,12.672
56.5578,22.70531,19.32338,-46.23262,134.29,16.554,18.437,15.259
56.56678,24.18973,19.60555,-43.75937,135.15,8.229,8.105,7.661
56.57036,24.44091,38.02541,-5.35641,147.56,16.485,17.915,15.302
56.57273,22.95927,19.27059,-16.12521,106.14,12.379,13.101,11.558
56.57483,24.6858,20.78257,-44.52782,135.62,15.306,16.693,14.148
56.59787,24.03075,19.22712,-44.20903,135.63,16.894,18.677,15.604
56.60274,24.4794,20.30772,-45.75159,136.6,16.471,18.11,15.217
56.61376,24.2548,20.45035,-44.64675,136.13,7.353,7.391,7.257
56.61582,23.59251,18.42757,-44.85548,136.04,12.564,13.306,11.722
56.63405,23.98273,43.61428,-58.19705,144.25,12.771,13.702,11.807
56.63706,23.30513,20.53925,-45.04483,134.53,14.019,15.028,13.016
56.64508,22.93528,19.4508,-45.27898,137.73,14.012,14.999,13.023
56.64973,23.96683,19.29309,-44.06839,138.27,13.736,14.643,12.79
56.6571,23.78751,20.01127,-47.26742,133.84,10.045,10.414,9.513
56.66166,24.95944,20.61031,-46.95446,135.01,10.108,10.425,9.622
56.66214,24.52011,20.23977,-46.0462,134.91,12.869,13.571,12.058
56.66778,23.49754,16.02289,-46.94145,135.85,11.962,12.597,11.178
56.68172,23.99494,20.50214,-45.33556,137.24,15.068,16.34,13.954
56.69081,25.45825,20.64891,-46.51162,134.72,15.653,17.155,14.454
56.69277,23.17008,-16.64846,-21.06256,196.39,17.408,18.857,16.236
56.69618,22.91438,18.7582,-45.0017,139.12,10.343,10.673,9.844
56.70512,24.59983,19.35216,-44.34839,135.38,14.311,15.418,13.27
56.70622,24.80778,-12.72321,-5.33546,136.14,16.805,18.3,15.609
56.70852,24.49586,20.35131,-23.50134,142.14,15.97,17.348,14.822
56.71927,23.64514,19.34147,-45.10348,137.67,16.497,18.413,15.179
56.72202,22.88075,18.98256,-41.6005,146.69,11.554,12.002,10.946
56.72345,24.28729,19.24908,-47.50404,135.71,14.973,16.493,13.772
56.72892,24.79613,19.30065,-46.34158,135.01,10.408,10.741,9.907
56.73783,21.91665,-10.57402,-71.3019,92.78,14.89,16.247,13.749
56.74398,24.46092,19.3016,-46.1394,133.92,16.011,17.626,14.773
56.74759,24.51991,22.27185,-47.5214,137.53,6.803,6.802,6.767
56.75128,24.47341,19.24125,-44.78725,133.01,16.985,18.276,15.151
56.75424,24.98247,17.91179,-38.40059,162.82,16.414,18.243,15.125
56.75601,23.49474,19.07189,-45.02344,135.38,11.274,11.697,10.691
56.76502,24.15949,19.33333,-44.72484,137.42,13.826,14.762,12.867
56.76583,23.61611,20.78005,-44.24209,138.71,14.265,15.604,13.129
56.76766,23.99501,21.32317,-45.43698,135.1,8.332,8.471,8.06
56.77665,22.33124,-1.94317,-15.28671,141.34,14.878,16,13.83
56.78069,23.22616,19.29519,-45.43851,136.81,13.143,13.889,12.292
56.78836,24.05198,19.44326,-43.83037,136.93,15.381,16.784,14.206
56.7911,23.78255,-15.22773,6.57566,156.78,9.345,9.575,8.863
56.79199,24.27645,19.95946,-44.49804,135.92,9.377,9.618,8.973
56.79571,25.086,63.70585,-46.33156,116.3,15.793,17.224,14.621
56.80648,23.71409,19.73051,-45.60887,134.81,12.216,12.771,11.51
56.80702,23.83129,20.66187,-45.95187,135.31,14.748,16.206,13.568
56.82562,24.23078,18.02322,-46.54777,132.82,17.031,18.529,15.19
56.8307,24.13892,19.01707,-43.92757,137.56,8.244,8.362,8.008
56.83688,25.08657,18.65865,-45.97709,137.81,14.673,15.892,13.578
56.83709,25.52564,19.30359,-45.56853,134.29,9.696,9.988,9.235
56.83746,23.80314,19.09568,-45.51979,136.74,6.998,7.003,6.96
56.83776,24.11607,20.34416,-45.07644,138.89,6.299,6.292,6.283
56.84109,25.89774,20.30233,-45.19012,139.43,14.386,15.504,13.334
56.84148,26.37967,20.67923,-46.72476,132.7,16.477,18.169,15.226
56.84947,23.149,19.44532,-45.54033,136.11,15.89,17.493,14.665
56.8547,24.25462,21.08717,-46.02759,132.46,17.057,18.838,15.783
56.85568,24.04895,18.3618,-45.82811,135.48,15.39,16.735,14.238
56.85797,25.44057,20.0622,-45.20469,138.21,16.655,18.664,15.329
56.8616,23.63388,19.56219,-43.40546,138.83,16.336,18.171,15.043
56.86189,23.67813,21.72388,-45.70969,133.82,7.747,7.812,7.595
56.86723,23.44802,20.03342,-44.3604,139.06,15.723,17.262,14.518
56.86843,26.53476,20.17063,-46.31158,135.64,16.338,18.019,15.084
56.86852,24.6757,19.22354,-47.19616,135.64,16.739,18.452,15.49
56.8724,24.11411,20.93603,-44.53787,136.78,16.843,17.596,15.508
56.87281,24.28813,18.55102,-46.9218,138.31,6.816,6.842,6.74
56.8767,23.95507,93.07522,11.16525,147.77,12.678,13.238,11.968
56.8842,23.30633,20.729,-45.43159,136.24,16.412,18.063,15.171
56.89041,24.684,19.58248,-46.27141,134.73,12.54,13.176,11.774
56.89245,25.71816,20.19879,-46.51248,130.32,16.268,17.919,15.033
56.90428,23.60885,56.30685,-59.33104,192.18,7.406,8.046,6.635
56.90697,24.40625,20.06757,-47.76913,136.19,16.923,18.858,15.617
56.91406,24.45873,19.09158,-45.39827,139.28,16.133,17.846,14.878
56.92144,21.35125,-7.98854,-19.62154,156.98,12.63,13.225,11.897
56.92276,23.97173,20.52466,-45.0322,135.73,13.007,13.721,12.173
56.93198,26.80348,15.61698,-33.67326,184.83,16.636,18.42,15.354
56.93624,22.39796,21.05706,-46.67305,132.42,16.656,18.509,15.369
56.94338,24.05048,20.17273,-46.51395,132.35,14.753,15.965,13.656
56.95059,23.21788,20.05366,-45.84754,134.93,10.946,11.336,10.391
56.96236,24.50502,18.64002,-45.03503,135.95,15.016,16.327,13.887
56.96895,23.94102,19.6846,-46.39381,135.57,9.761,10.036,9.328
56.97037,22.9926,17.45843,-44.84198,139.44,16.177,18.02,14.9
57.0025,23.63158,-40.40868,-49.72384,197.62,16.945,18.504,15.765
57.00713,26.37693,19.46946,-25.35019,183.16,16.756,18.286,15.562
57.01482,22.5102,37.66938,-13.37957,145.3,16.87,18.447,15.646
57.02389,22.63578,19.48222,-45.44551,137.59,16.373,18.101,15.113
57.02435,23.03395,19.29311,-44.99777,136.81,15.134,16.501,13.985
57.02677,24.11421,20.11225,-46.8538,138.55,16.74,18.457,15.468
57.02772,24.00172,19.08037,-44.48205,139.09,16.502,18.197,15.24
57.02858,21.14307,-12.5509,-33.34094,153.04,14.998,16.17,13.922
57.03845,23.97779,18.5019,-46.78461,137.57,16.514,18.152,15.275
57.04583,23.50681,19.70712,-44.53956,136.63,13.712,14.6,12.783
57.05197,26.5836,20.98398,-46.56512,131.88,13.179,13.949,12.313
57.07039,25.21492,18.11105,-45.72447,135.89,9.118,9.297,8.638
57.07052,23.63658,18.29152,-44.75731,139,9.992,10.279,9.539
57.0714,23.89015,17.88604,-45.49538,137.19,10.246,10.56,9.763
57.07348,22.06681,20.28402,-45.30199,131.61,16.483,18.197,15.235
57.07381,25.04764,19.51668,-47.05733,133.35,10.745,11.122,10.203
57.08466,24.91506,20.4813,-44.4491,133.84,16.178,17.279,14.305
57.08683,23.42104,19.69502,-47.11298,130.02,5.428,5.394,5.461
57.09465,23.46175,20.58611,-45.14238,133.17,16.847,18.707,15.553
